area,city,name,origin_url,price,province,rooms,time
35㎡,合肥,寓尚公寓寓尚公寓（双岗店）公寓豪华房,https://hf.zu.ke.com/apartment/6993.html,1850 元/月,安徽,1室1厅1卫,今天发布
142㎡,合肥,绿地海顿公馆A3室1厅6000元,https://hf.zu.ke.com/zufang/HF2080822612539482112.html,6000 元/月,安徽,3室1厅2卫,3天前发布
125㎡,合肥,加侨悦山国际4室1厅2600元,https://hf.zu.ke.com/zufang/HF2081564879432720384.html,2600 元/月,安徽,4室1厅2卫,2天前发布
112㎡,合肥,华源国际城3室2厅2300元,https://hf.zu.ke.com/zufang/HF2080387139413221376.html,2300 元/月,安徽,3室2厅2卫,3天前发布
140㎡,合肥,万达揽湖苑4室2厅2700元,https://hf.zu.ke.com/zufang/HF2082466290626469888.html,2700 元/月,安徽,4室2厅1卫,1天前发布
35㎡,合肥,冠寓裕溪路店35标准开间,https://hf.zu.ke.com/apartment/6947.html,1680-1968 元/月,安徽,1室1厅1卫,1天前发布
221㎡,合肥,名人御苑5室3厅4200元,https://hf.zu.ke.com/zufang/HF2079633391141265408.html,4200 元/月,安徽,5室3厅2卫,5天前发布
160㎡,合肥,贵都花园4室2厅3600元,https://hf.zu.ke.com/zufang/HF2080905971135692800.html,3600 元/月,安徽,4室2厅2卫,3天前发布
95㎡,合肥,华邦世贸城3室2厅3800元,https://hf.zu.ke.com/zufang/HF2081530672803225600.html,3800 元/月,安徽,3室2厅1卫,2天前发布
97㎡,合肥,金色梧桐2室2厅2200元,https://hf.zu.ke.com/zufang/HF2082466716457377792.html,2200 元/月,安徽,2室2厅1卫,1天前发布
30㎡,合肥,冠寓裕溪路店30平标准开间,https://hf.zu.ke.com/apartment/6947.html,1480-1848 元/月,安徽,1室1厅1卫,1天前发布
119㎡,合肥,凯旋门3室2厅5500元,https://hf.zu.ke.com/zufang/HF2065072304597516288.html,5500 元/月,安徽,3室2厅2卫,25天前发布
140㎡,合肥,合肥恒润花园3室2厅3200元,https://hf.zu.ke.com/zufang/HF2062238476166250496.html,3200 元/月,安徽,3室2厅2卫,29天前发布
98㎡,合肥,金水童话名苑2室2厅2200元,https://hf.zu.ke.com/zufang/HF2081776120218255360.html,2200 元/月,安徽,2室2厅1卫,2天前发布
155㎡,合肥,世纪新城4室2厅3500元,https://hf.zu.ke.com/zufang/HF2067393865156919296.html,3500 元/月,安徽,4室2厅2卫,21天前发布
41㎡,合肥,万科泊寓时代之光店特惠双人间开间,https://hf.zu.ke.com/apartment/6256.html,1570 元/月,安徽,1室0厅1卫,3天前发布
93㎡,合肥,北美印象雅苑2室2厅2000元,https://hf.zu.ke.com/zufang/HF2081807671652261888.html,2000 元/月,安徽,2室2厅1卫,2天前发布
90㎡,合肥,新景花园2室1厅2200元,https://hf.zu.ke.com/zufang/HF2077222057837330432.html,2200 元/月,安徽,2室1厅1卫,8天前发布
88㎡,合肥,北美印象雅苑3室1厅2400元,https://hf.zu.ke.com/zufang/HF2081047933679312896.html,2400 元/月,安徽,3室1厅1卫,3天前发布
89㎡,合肥,高速滨湖时代广场2室2厅2500元,https://hf.zu.ke.com/zufang/HF2078797968370581504.html,2500 元/月,安徽,2室2厅1卫,6天前发布
70㎡,合肥,万科泊寓时代之光店豪华单间B开间,https://hf.zu.ke.com/apartment/6256.html,2488 元/月,安徽,1室0厅1卫,4天前发布
240㎡,合肥,海亮红玺台6室3厅4500元,https://hf.zu.ke.com/zufang/HF2044821125682167808.html,4500 元/月,安徽,6室3厅3卫,1个月前发布
124㎡,合肥,和地蓝湾3室2厅2900元,https://hf.zu.ke.com/zufang/HF2077938281743654912.html,2900 元/月,安徽,3室2厅2卫,7天前发布
90㎡,合肥,和昌都汇华府2室2厅2500元,https://hf.zu.ke.com/zufang/HF2080962346087350272.html,2500 元/月,安徽,2室2厅1卫,3天前发布
142㎡,合肥,望湖嘉苑3室2厅2200元,https://hf.zu.ke.com/zufang/HF2065895588649771008.html,2200 元/月,安徽,3室2厅2卫,23天前发布
35㎡,合肥,万科泊寓时代之光店普通单间开间,https://hf.zu.ke.com/apartment/6256.html,1488 元/月,安徽,1室0厅1卫,10天前发布
129㎡,合肥,绿地海顿公馆A3室1厅3500元,https://hf.zu.ke.com/zufang/HF2081774511283781632.html,3500 元/月,安徽,3室1厅2卫,2天前发布
